OTUID,Phylum,Class,Order,Family,Genus,Species
otu000180,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_merycicum
otu000181,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_pseudocatenulatum
otu000182,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_ruminantium
otu000183,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_sp.
otu000184,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_stellenboschense
otu000185,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila_wadsworthia
otu000186,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus_aggregatus
otu000187,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_faecis
otu000188,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_glucerasea
otu000189,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_hansenii
otu000190,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_luti
otu000191,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_obeum
otu000192,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_producta
otu000193,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_sp.
otu000194,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_stercoris
otu000195,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_torques
otu000196,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Blautia,Blautia_wexlerae
otu000197,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella_sp.
otu000198,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Bosea_genosp.
otu000199,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Bosea_sp.
otu000200,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Brachymonas,Brachymonas_chironomi
otu000201,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Brachymonas,Brachymonas_sp.
otu000202,Spirochaetes,Spirochaetes,Spirochaetales,Brachyspiraceae,Brachyspira,Brachyspira_aalborgi
